name,affiliation,lettergroup,inferredgender,inferredethnicity,inferredisurm,highered,institution,research,country,role,security,field,simplefield
latham boyle,perimeter institute,B Only,man,white,noturm,highered,international,moreri,canada,NA,NA,other,other
scott aaronson,university of texas at austin,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,comp,other
aydin mohseni,university of california irvine,B Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,other,other
robert bryant,duke university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
guido mislin,eth zurich,B Only,man,white,noturm,highered,international,moreri,switzerland,retired,moresecure,math,mathstat
deirdre haskell,mcmaster university,B Only,woman,white,noturm,highered,international,moreri,NA,professor,moresecure,math,mathstat
george hagedorn,virginia tech,B Only,man,white,noturm,highered,domesticr1,moreri,NA,retired,moresecure,math,mathstat
zoi rapti,university of illinois,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
aaron weiss,merkaz lev academy,B Only,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
stephen l clark,missouri university of science and technology,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
lance littlejohn,baylor university,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
svetoslav zahariev,city university of new york laguardia college,B Only,man,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
todd kapitula,calvin university,B Only,man,white,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
irina yaroshevskaya,yanbor llc,B Only,woman,white,noturm,nothighered,NA,NA,NA,NA,NA,NA,NA
fritz gesztesy,baylor university,B Only,man,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
martin r bridson,university of oxford,B and C,man,white,noturm,highered,international,moreri,NA,professor,moresecure,math,mathstat
federico rodriguez hertz,pennsylvania state university,B and C,man,latinx,urm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
margaret a readdy,university of kentucky,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
michael saks,rutgers university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
richard ehrenborg,university of kentucky,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
wai yan pong,california state university dominguez hills,B Only,man,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
misha lyubich,stony brook university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
dorina mitrea,baylor university,B Only,woman,white,noturm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
moshe dinowitz,city university of new york,B Only,man,NA,NA,highered,domesticr1,moreri,NA,NA,NA,NA,NA
peter perry,university of kentucky,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
andrei martinez finkelshtein,baylor university,B Only,man,latinx,urm,highered,domesticr2,lessri,NA,professor,moresecure,math,mathstat
vyacheslav m abramov,NA,B Only,man,white,noturm,NA,NA,NA,NA,NA,NA,NA,NA
emily norton,tu kaiserslautern,B Only,woman,white,noturm,highered,international,moreri,germany,NA,NA,math,mathstat
daria poliakova,university of copenhagen,B Only,woman,white,noturm,highered,international,moreri,denmark,grad,lesssecure,math,mathstat
serge ochanine,university of kentucky,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
zhenghe zhang,university of california riverside,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
zhongwei shen,university of kentucky,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
danny crytser,saint lawrence university,B Only,man,white,noturm,highered,domesticother,lessri,NA,ntt,lesssecure,math,mathstat
peter kuchment,texas am university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
curt wittig,university of southern california,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
christopher manon,university of kentucky,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
jonathon peterson,purdue university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
pavel etingof,massachusetts institute of technology,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
michelle lemasurier,hamilton college,B Only,woman,white,noturm,highered,domesticother,lessri,NA,associate,moresecure,math,mathstat
fedor manin,university of california santa barbara,B Only,man,NA,NA,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
nicholas nguyen,university of kentucky,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,ntt,lesssecure,math,mathstat
nicholas castillo,ohio state university,B Only,man,NA,NA,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
crichton ogle,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
eric katz,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,associate,moresecure,math,mathstat
dongbin xiu,ohio state university,B Only,man,asian,noturm,highered,domesticother,lessri,NA,professor,moresecure,math,mathstat
ivo terek,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
joseph stahl,university of california berkeley,B Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
rodica barbu,ohio state university,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,staff,lesssecure,math,mathstat
sohail farhangi,ohio state university,B Only,man,middleeast,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
paul wedrich,max planck institute for mathematics,B Only,man,white,noturm,highered,international,moreri,germany,ntt,lesssecure,math,mathstat
andrey gogolev,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,NA,NA,math,mathstat
matthew osborne,ohio state university,B Only,man,white,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
jason bramburger,university of victoria,B Only,man,white,noturm,highered,international,moreri,NA,ntt,lesssecure,math,mathstat
yilong zhang,ohio state university,B Only,man,asian,noturm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
dani byrd,university of southern california,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
hanna reisler,university of southern california,B Only,woman,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,other,other
ebenezer de oliveira,ohio state university,B Only,man,latinx,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
ludmil zikatanov,pennsylvania state university,B and C,man,white,noturm,highered,domesticr1,moreri,NA,professor,moresecure,math,mathstat
john urschel,massachusetts institute of technology,B Only,man,black,urm,highered,domesticr1,moreri,NA,grad,lesssecure,math,mathstat
ian alevy,university of rochester,B Only,man,white,noturm,highered,domesticr1,moreri,NA,assistant,lesssecure,math,mathstat
